,Name,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude,Simple Service Type
25,Centre Educatiu Padre Damián Sagrados Corazones,Av Vallvidrera,10.0,23,Sarrià,5,Sarrià-Sant Gervasi,8017,"Kindergarten, Primary & Secondary School",426155.9692804455,4584146.89582665,41.40547609448432,2.116533753073015,General School (with kindergarten)
26,Centre Educatiu San Francisco,C Treball,213.0,72,Sant Martí de Provençals,10,Sant Martí,8020,"Kindergarten, Primary & Secondary School",433196.167653589,4585337.086685943,41.41681167843815,2.2006226443856365,General School (with kindergarten)
27,Institut  Dolors Aleu,Pl Ferran Reyes,2.0,63,Navas,9,Sant Andreu,8027,Secondary School,431977.6234462474,4585537.51448935,41.418514640985066,2.186020355339397,High School
28,Centre Educatiu Sant Lluís,C Aritjols,12.0,52,la Prosperitat,8,Nou Barris,8016,"Kindergarten, Primary & Secondary School",431669.3339090928,4588152.909943287,41.44204442038263,2.182035973634189,General School (with kindergarten)
29,Escola Tabor,C Cartagena,231.0,6,la Sagrada Família,2,Eixample,8013,Kindergarten & Primary School,431405.9422502555,4584296.751470833,41.40729090540173,2.179320759601953,Kindergarten & Primary School
30,Escola ETP Xavier,Avinguda de Francesc Cambó,12.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,Secondary School & FP,431233.916407316,4581918.357637107,41.385854760072434,2.1775328994208856,High School
31,Escola de Música del Palau,C Sant Pere Més Alt,6.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,Music School,431063.1020356654,4582075.203071774,41.38725279976831,2.1754722533379183,Music School
32,Institut Príncep de Viana,C Torroella de Montgrí,6.0,61,la Sagrera,9,Sant Andreu,8027,Secondary School,432079.7692438506,4586581.139338513,41.42792286266486,2.1871253300366518,High School
33,Centre Educatiu Jesuïtes Casp - Sagrat Cor de Jesús,C Casp,25.0,7,la Dreta de l'Eixample,2,Eixample,8010,Primary & Secondary School,430724.8012599306,4582386.991960319,41.39003192106885,2.171390716405784,General School
34,School of Architecture - UIC,Immaculada,22.0,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8017,University,426716.4668234499,4584203.063400844,41.406033260654574,2.123231960089889,University
35,Escola de Música Casp,C Roger de Llúria,19.0,7,la Dreta de l'Eixample,2,Eixample,8010,Music School,430746.9440245709,4582484.852010037,41.39091522231504,2.171644353423491,Music School
36,Institut Robòtica i Informàtica Industrial,C Llorens i Artigas,4.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,University,426088.55448720185,4581634.29532349,41.38284004736482,2.1160339544499878,University
37,Centre Educatiu Barcelona Vitae Les Corts,C Pintor Ribalta,2.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,FP,426004.7264015816,4581182.209717458,41.37876060351543,2.115086703291677,FP
38,Institut de Ciències de l'Educació de la Universitat Autònoma de Barcelona *Sant Pau,C Sant Antoni Maria Claret,171.0,35,el Guinardó,7,Horta-Guinardó,8025,University,431211.3219929034,4585020.379375686,41.41379174747705,2.176910232352591,University
39,Escola per a Infants,C Sant Quintí,89.0,35,el Guinardó,7,Horta-Guinardó,8041,"Kindergarten, Primary & Secondary School",431120.5558447624,4585165.244944917,41.41508872749402,2.175807785588492,General School (with kindergarten)
40,Edifici Sants,Melcior de Palau,140.0,18,Sants,3,Sants-Montjuïc,8014,University,427989.3870489826,4581442.608604518,41.38128597939545,2.1387878130180185,University
41,Institut Catala Enginyeria Civil,C Gran Capità,1.0,21,Pedralbes,4,Les Corts,8034,University,425619.5299676143,4581992.810721985,41.386025808317086,2.1103811501410736,University
42,Escola Superior d'Estudis Musicals Taller de Músics,C Segre,24.0,60,Sant Andreu,9,Sant Andreu,8030,Music School,432471.6342846804,4587355.370873239,41.43492914455279,2.1917282568652707,Music School
43,Universitat Nacional d'Educació a Distància *Barcelona,Av Rio de Janeiro,56.0,45,Porta,8,Nou Barris,8016,University,431531.4183728761,4587534.814936169,41.43646572009841,2.180455235272232,University
44,Escola Municipal de Música Eixample Joan Manuel Serrat,C Sardenya,368.0,6,la Sagrada Família,2,Eixample,8025,Music School,430639.5427238949,4584156.533681888,41.40596224827076,2.170168320535942,Music School
45,Escola de Música Municipal Sant Andreu - Mestre Pich Santasusana,C Segadors,2.0,60,Sant Andreu,9,Sant Andreu,8030,Music School,432513.2118355858,4587582.861665322,41.43698157136573,2.1922004613303185,Music School
46,Escola per a Infants i Adolescents,C Villarroel,170.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,"Kindergarten, Primary & Secondary School",429084.6822184803,4582304.749422763,41.38914826078086,2.151784715500113,General School (with kindergarten)
47,Institut Escola Trinitat Nova,Carrer de la Pedrosa,16.0,53,la Trinitat Nova,8,Nou Barris,8033,"Kindergarten, Primary & Secondary School",431889.1456266119,4588893.495775172,41.4487332776949,2.184583502268608,General School (with kindergarten)
48,Escola 9 Graons,C Roger de Flor,217.0,7,la Dreta de l'Eixample,2,Eixample,8025,Kindergarten & Primary School,430528.4499038907,4583668.172421859,41.401554153546826,2.168895385331425,Kindergarten & Primary School
49,Fundació Institut de Recerca Biomèdica,C Baldiri Reixac,10.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,University,426126.9761371306,4581527.502374123,41.38188173843909,2.116506436518207,University
50,Escola Universitària d'Hostaleria i Turisme-CETT,Av Can Marcet,36.0,41,la Vall d'Hebron,7,Horta-Guinardó,8035,University,428831.1646092463,4587381.554872108,41.434850603451615,2.1481555636305814,University
51,Institut Escola El Til·ler,Passeig de Mollerussa,1.0,59,el Bon Pastor,9,Sant Andreu,8030,"Kindergarten, Primary & Secondary School",433389.1103036477,4587744.692262393,41.43851226233614,2.20266592075902,General School (with kindergarten)
52,Facultat d'Humanitats - UIC,C Immaculada,22.0,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8017,University,426716.4668234499,4584203.063400844,41.406033260654574,2.123231960089889,University
53,Fundació Barcelonabeta Brain Research Center,C Wellington,30.0,67,la Vila Olímpica del Poblenou,10,Sant Martí,8005,University,432269.7442620128,4582295.902162109,41.38934307942733,2.189878364819311,University
54,Facultat de Dret - UIC,C Immaculada,22.0,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8017,University,426716.44682364695,4584203.050400968,41.40603314174738,2.1232317224121497,University
55,Escola Cervantes,C Sant Pere Més Baix,31.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,Kindergarten & Primary School,431197.8017242793,4582085.150002151,41.38735392112421,2.1770820552623897,Kindergarten & Primary School
56,Centre Educatiu Forma't,C Vilardell,38.0,15,Hostafrancs,3,Sants-Montjuïc,8014,FP,428400.7272107012,4580686.70907023,41.37451457608572,2.143796010890021,FP
58,Facultat d'Educació Social i Treball Social Pere Tarrés - URL,C Santaló,29.0,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,University,428588.726886192,4583024.979291651,41.39559121946946,2.1457683225939386,University
59,Escola Tres Pins,C Tres Pins,28.0,11,el Poble-sec,3,Sants-Montjuïc,8038,Kindergarten & Primary School,429740.6553571353,4579840.990608531,41.3670155512874,2.159915577898196,Kindergarten & Primary School
60,Institut Vall d'Hebron,Pg Vall d'Hebron,93.0,39,Sant Genís dels Agudells,7,Horta-Guinardó,8035,Secondary School & FP,428227.511748312,4586064.059582371,41.42293079126446,2.1410874275389915,High School
61,Fundació Salut i Envelliment UAB,C Sant Antoni Maria Claret,171.0,35,el Guinardó,7,Horta-Guinardó,8041,University,431211.3219929034,4585020.379375686,41.41379174747705,2.176910232352591,University
62,Centre Educatiu Frederic Mistral-Tècnic Eulàlia,C Lluís Muntadas,3.0,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8035,"Kindergarten, Primary & Secondary School",427543.3595589938,4585280.83507077,41.415815232630926,2.132994795549118,General School (with kindergarten)
63,Centre Educatiu Barcelona Vitae Nou Barris,Avinguda de Rio de Janeiro,42.0,45,Porta,8,Nou Barris,8016,FP,431500.16,4587420.297,41.435431633542514,2.1800941010622124,FP
64,Escola Seat,Passatge d'Antonio Ruiz Villalba,6.0,13,la Marina de Port,3,Sants-Montjuïc,8038,Kindergarten & Primary School,427935.7530754827,4579085.263608764,41.36004942767377,2.1384266320287693,Kindergarten & Primary School
65,Escola Tàber,C Esports,9.0,23,Sarrià,5,Sarrià-Sant Gervasi,8017,Kindergarten & Primary School,425806.2087885047,4583645.936635669,41.40093198985838,2.112411119338429,Kindergarten & Primary School
66,Institut Joan Brossa,Av Mare Déu de Montserrat,78.0,33,el Baix Guinardó,7,Horta-Guinardó,8024,Secondary School & FP,430373.1691028056,4585165.608788363,41.41502759794825,2.166865625032984,High School
67,Escola Víctor Català,C Font de Canyelles,35.0,52,la Prosperitat,8,Nou Barris,8016,Kindergarten & Primary School,431234.6681847348,4587867.351636681,41.43943539520372,2.176865748121006,Kindergarten & Primary School
68,Escola Massana Centre Municipal d'Art i Disseny,Plaça de la Gardunya,9.0,1,el Raval,1,Ciutat Vella,8001,University,430666.21703693335,4581379.641778674,41.380953983657726,2.1708053338176225,University
69,Centre Educatiu Virolai,C Ceuta,16.0,37,el Carmel,7,Horta-Guinardó,8032,"Kindergarten, Primary, Secondary School & FP",429177.1476491386,4585491.559362617,41.41785879011815,2.1525177085636917,General School (with kindergarten)
70,Escola Dolors Monserdà-Santapau,Av Vallvidrera,9.0,23,Sarrià,5,Sarrià-Sant Gervasi,8017,Kindergarten & Primary School,426055.4592616591,4584124.847019702,41.40526827246749,2.1153340874935034,Kindergarten & Primary School
71,Escola Eduard Marquina,Carrer de Jaume Huguet,22.0,70,el Besòs i el Maresme,10,Sant Martí,8019,Kindergarten & Primary School,434321.9156883875,4585506.87625123,41.418433726641325,2.2140737280233225,Kindergarten & Primary School
72,Facultat de Farmàcia i Ciències de l'Alimentació - UB,Av Joan XXIII,27.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,University,426353.6108465615,4581926.040534257,41.38549197752809,2.119168154034765,University
73,Facultat d'Informàtica - UPC,Jordi Girona,1.0,21,Pedralbes,4,Les Corts,8034,University,425980.2854158732,4582197.376805042,41.38790151896208,2.1146704334958524,University
74,Centre Estudis Universitat California i Illinois,G.V. Corts Catalanes,585.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8007,University,430105.756355228,4582009.3515178105,41.38657708352391,2.164030568391206,University
75,Institut Escola Costa i Llobera,C Capella de Can Caralleu,3.0,23,Sarrià,5,Sarrià-Sant Gervasi,8017,"Kindergarten, Primary & Secondary School",425516.4555775971,4583763.595424449,41.40196489590419,2.1089306933420966,General School (with kindergarten)
76,Centre Dona i Literatura,G.V. Corts Catalanes,585.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8007,University,430105.756355228,4582009.3515178105,41.38657708352391,2.164030568391206,University
77,Centre Educatiu Sopeña Barcelona,C Violant Hongria Rna Aragó,39.0,17,Sants - Badal,3,Sants-Montjuïc,8028,Secondary School & FP,427115.6316183285,4581098.853772428,41.37811124129735,2.128380614084981,High School
78,Escola de Música,C Astúries,83.0,31,la Vila de Gràcia,6,Gràcia,8024,Music School,429489.3289236514,4584031.287665447,41.404734139288166,2.156423120771882,Music School
79,Facultat de Ciències Polítiques i Socials - UPF,C Ramon Trias Fargas,25.0,67,la Vila Olímpica del Poblenou,10,Sant Martí,8005,University,432353.5044327042,4582371.340442798,41.390029580136975,2.1908716995715816,University
80,Institut Joan Salvat-Papasseit,Pg Salvat Papasseit,11.0,3,la Barceloneta,1,Ciutat Vella,8003,Secondary School,432473.5584574441,4581416.542784344,41.38144005668372,2.192413963362347,High School
81,Biblioteca,Rbla Catalunya,6.0,7,la Dreta de l'Eixample,2,Eixample,8007,Library & Study Room,430453.8519427657,4582148.365233093,41.38785930522818,2.168177581579306,Library & Study Room
82,Escola Duran i Bas,C Vallespir,198.0,19,les Corts,4,Les Corts,8014,Kindergarten & Primary School,427534.7433726323,4581890.704134322,41.385280979372205,2.1332974994397182,Kindergarten & Primary School
83,Institut Escola Mirades,Carrer de Farnés,60.0,37,el Carmel,7,Horta-Guinardó,8032,"Kindergarten, Primary & Secondary School",429239.39084715454,4586431.663213035,41.42633140439301,2.1531524452640567,General School (with kindergarten)
84,Escola Els Horts,Rbla Prim,217.0,73,la Verneda i la Pau,10,Sant Martí,8020,Kindergarten & Primary School,433266.0588102664,4586167.5586050125,41.42429729902253,2.201367249809121,Kindergarten & Primary School
85,Centre Educatiu Escolàpies Llúria-Barcelona,C Aragó,302.0,7,la Dreta de l'Eixample,2,Eixample,8009,"Kindergarten, Primary & Secondary School",430446.613864422,4582867.7462127805,41.394337909215984,2.168008408286293,General School (with kindergarten)
86,Centre Educatiu Joan Pelegrí,Carrer del Consell de Cent,14.0,15,Hostafrancs,3,Sants-Montjuïc,8014,"Kindergarten, Primary, Secondary School & FP",428465.2305515664,4580836.573620921,41.37587008897511,2.14454959168278,General School (with kindergarten)
87,Institut Escola Eixample,València,252.0,7,la Dreta de l'Eixample,2,Eixample,8007,"Kindergarten, Primary & Secondary School",429922.7820215991,4582548.377220436,41.39141598738827,2.16177997203942,General School (with kindergarten)
88,Institut Jaume Balmes,C Pau Claris,121.0,7,la Dreta de l'Eixample,2,Eixample,8009,Secondary School & FP,430373.0996184871,4582676.154066816,41.392605941013386,2.1671511535111376,High School
89,Escola de Música Aula de Música 7,Av Diagonal,327.0,7,la Dreta de l'Eixample,2,Eixample,8009,Music School,430597.955290232,4583369.271351532,41.39886805495827,2.1697610759866617,Music School
90,Institut Nou Barris,Carrer de Badosa,10.0,52,la Prosperitat,8,Nou Barris,8016,Secondary School,431544.1031566756,4587992.852476961,41.44059217516373,2.1805551603178746,High School
91,Escola Torrent  Melis,Carrer de Varsòvia,161.0,35,el Guinardó,7,Horta-Guinardó,8041,Kindergarten & Primary School,430794.5589645056,4585389.602691236,41.41708143014222,2.171881720640319,Kindergarten & Primary School
92,Institut Icària,C Doctor Trueta,81.0,67,la Vila Olímpica del Poblenou,10,Sant Martí,8005,Secondary School,432837.1076531469,4582767.509673915,41.39363829928281,2.1966116595086373,High School
93,Escola Turó del Cargol,Av Coll del Portell,56.0,30,la Salut,6,Gràcia,8024,Kindergarten & Primary School,429166.835903757,4584757.360518074,41.41124524522704,2.152480292670107,Kindergarten & Primary School
94,Institut Montserrat,C Copèrnic,84.0,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,Secondary School,428372.3768397387,4583724.352424143,41.40187095521701,2.14309785173122,High School
95,Centre Educatiu Ramón y Cajal,C Rosselló,303.0,7,la Dreta de l'Eixample,2,Eixample,8037,FP,430178.3353624235,4583393.894024982,41.39905349511968,2.164738940810504,FP
96,Facultat de Ciències Econòmiques i Empresarials - UPF,C Ramon Trias Fargas,25.0,67,la Vila Olímpica del Poblenou,10,Sant Martí,8005,University,432362.0263673597,4582284.352293278,41.38924681822701,2.190983335170805,University
97,Institut L'Alzina,Ptge Salvador Riera,2.0,62,el Congrés i els Indians,9,Sant Andreu,8027,Secondary School,431396.3209527485,4586215.238766388,41.4245692469061,2.178988086911537,High School
98,Institut Barri Besòs,Carrer de Josep Pla,56.0,70,el Besòs i el Maresme,10,Sant Martí,8019,Secondary School,434217.18586032017,4584713.904961632,41.41128307627562,2.21290683597758,High School
