,Name,Street ID,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude
476,Farmàcia Borràs,351901,Passeig de Valldaura,247.0,52,la Prosperitat,8,Nou Barris,8016.0,Pharmacy,431490.9467030468,4587842.442931285,41.4392329590609,2.179935973333732
477,Farmàcia Martínez Boronat,352904,Vallespir,190.0,19,les Corts,4,Les Corts,8014.0,Pharmacy,427589.48686512565,4581776.168263771,41.3842543294795,2.1339658619177206
478,Farmàcia Sambola Puig,191204,Mallorca,131.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036.0,Pharmacy,429239.6667555353,4582098.05947204,41.38730032688276,2.1536624284557644
479,Farmàcia Oriol Carreras,186703,C Llull,187.0,68,el Poblenou,10,Sant Martí,8005.0,Pharmacy,433321.9617739789,4583610.805543673,41.40127399164018,2.202317975119912
480,Farmàcia Panadés Mas,369408,Pg Zona Franca,226.0,13,la Marina de Port,3,Sants-Montjuïc,8038.0,Pharmacy,427863.9647117398,4579375.204761741,41.36265439766052,2.1375339707144407
481,Farmàcia Boada Solsona,307604,C Sant Medir,12.0,18,Sants,3,Sants-Montjuïc,8028.0,Pharmacy,427486.1640952034,4580729.307459416,41.37481635648596,2.132855509483516
482,Farmàcia Agramonte Bucho,176200,Pl Llana,11.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003.0,Pharmacy,431395.60984874953,4581853.348304358,41.38528304565909,2.179473982031581
483,Farmàcia Quinteiro Canedo,253301,C Peris i Mencheta,55.0,36,la Font d'en Fargues,7,Horta-Guinardó,8032.0,Pharmacy,429951.7879502052,4586341.980235249,41.42558610174953,2.16168776828193
484,Farmàcia Pérez Garcia,169409,G.V. Corts Catalanes,938.0,71,Provençals del Poblenou,10,Sant Martí,8018.0,Pharmacy,432711.4965416031,4584429.530438314,41.40859715297665,2.1949245327085847
485,Farmàcia Soldevila Sitjes,194406,Pg Maragall,310.0,44,Vilapicina i la Torre Llobeta,8,Nou Barris,8031.0,Pharmacy,430579.3698162251,4586543.424401526,41.42745491115165,2.1691745549356902
486,Farmàcia More Camins,138802,Galileu,248.0,19,les Corts,4,Les Corts,8028.0,Pharmacy,427517.14061468834,4581561.42034403,41.382313664965096,2.133126380132802
487,Farmàcia Gumiel,242509,Carrer de Palomar,28.0,60,Sant Andreu,9,Sant Andreu,8030.0,Pharmacy,432309.5436992111,4588144.159157163,41.44201983703731,2.1896999565412623
488,Farmàcia Rius Balet,293000,Sagunt,83.0,18,Sants,3,Sants-Montjuïc,8014.0,Pharmacy,427687.3112017203,4580438.358342879,41.37221398634421,2.135295335500675
489,Farmàcia Riera Ranz,3406,C Agricultura,292.0,72,Sant Martí de Provençals,10,Sant Martí,8020.0,Pharmacy,433063.63486959407,4585694.230178371,41.420017334080455,2.198997376710901
490,Farmàcia Barceló i Giró,363004,Carrer de Vila-seca,39.0,47,Can Peguera,8,Nou Barris,8031.0,Pharmacy,430256.4417811948,4587363.075348892,41.43480921027823,2.165215576155567
491,Farmàcia Gironès Saderra,112208,C Escudellers,8.0,2,el Barri Gòtic,1,Ciutat Vella,8002.0,Pharmacy,431103.92882076296,4581186.668751663,41.379253531725446,2.1760615480989305
492,Farmàcia Jiménez Andreu,137300,Foneria,18.0,13,la Marina de Port,3,Sants-Montjuïc,8038.0,Pharmacy,427850.2849096479,4579073.043709877,41.3599317132721,2.137406370748707
493,Farmàcia García Casas,40300,Berlín,107.0,19,les Corts,4,Les Corts,8029.0,Pharmacy,428240.8535137022,4581866.692519256,41.38512801142897,2.141744682811181
494,Farmàcia Germana,309406,Rda Sant Pere,15.0,7,la Dreta de l'Eixample,2,Eixample,8010.0,Pharmacy,430754.1310037458,4582246.62033598,41.38877016365097,2.171757544741645
495,Farmàcia Gazulla Abío,16907,C Anglí,4.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017.0,Pharmacy,427092.64335501415,4583345.60184484,41.39834468490782,2.1278353253888658
496,Farmàcia Gemma Lavila Godayol,289105,Rosselló,215.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008.0,Pharmacy,429512.131973176,4582737.207292793,41.39308082871128,2.156846564114571
497,Farmàcia Del Castillo Guerrero,220404,Montserrat de Casanovas,184.0,36,la Font d'en Fargues,7,Horta-Guinardó,8032.0,Pharmacy,429857.27094554575,4585968.589854661,41.42221487488143,2.1606000514593706
498,Farmàcia Nadal Casas,34308,C la Rambla,121.0,1,el Raval,1,Ciutat Vella,8002.0,Pharmacy,430639.1612171421,4581781.472851437,41.38457082057634,2.1704357965514194
499,Farmàcia Jansana Puerta,143904,Rda General Mitre,36.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017.0,Pharmacy,427541.67409939633,4582846.674808335,41.393891644403126,2.133266029810027
500,Farmàcia Reixach-de Pablo,296202,Carrer Gran de Sant Andreu,263.0,60,Sant Andreu,9,Sant Andreu,8030.0,Pharmacy,432297.5439584983,4587433.514077168,41.435618295520094,2.1896359516105504
501,Farmàcia Tomàs Gustín,290206,Pl Rovira i Trias,1.0,31,la Vila de Gràcia,6,Gràcia,8024.0,Pharmacy,429660.61519880727,4584322.4988613,41.4073719753169,2.158438301965264
502,Farmàcia Paterna Paterna,41100,Bernat Metge,6.0,70,el Besòs i el Maresme,10,Sant Martí,8019.0,Pharmacy,434021.8355890909,4585574.288535724,41.41901630688706,2.210475840512568
503,Farmàcia Pérez Sánchez,286800,C Roig i Solé,5.0,40,Montbau,7,Horta-Guinardó,8035.0,Pharmacy,428176.77307673823,4586833.696071585,41.42985802962827,2.1403888683901173
504,Farmàcia Soler Gornals *Consell de Cent,89004,C Consell de Cent,312.0,7,la Dreta de l'Eixample,2,Eixample,8007.0,Pharmacy,430318.271174853,4582562.652162895,41.391578918451536,2.166508442964425
505,Farmàcia Nialet Prieto,266405,Rbla Prim,74.0,70,el Besòs i el Maresme,10,Sant Martí,8019.0,Pharmacy,434382.3311701973,4585155.585687488,41.415274680726064,2.2148347220967666
506,Farmàcia Vidal Caralt,266405,Rbla Prim,136.0,70,el Besòs i el Maresme,10,Sant Martí,8019.0,Pharmacy,434118.2326817495,4585427.638984035,41.41770338384073,2.211645239649626
507,Farmàcia González Solà,191204,C Mallorca,519.0,64,el Camp de l'Arpa del Clot,10,Sant Martí,8026.0,Pharmacy,431622.4231205463,4584428.806226969,41.40849872387466,2.1818956251756902
508,Farmàcia March Puigoriol,191204,Mallorca,312.0,7,la Dreta de l'Eixample,2,Eixample,8037.0,Pharmacy,430398.2002655796,4583202.959932748,41.3973528782664,2.167390817713386
509,Farmàcia López Linares,292507,Sagrera,146.0,61,la Sagrera,9,Sant Andreu,8027.0,Pharmacy,432414.2790609157,4586261.2305230405,41.42506976435788,2.1911641469930188
510,Farmàcia Domingo Esgleyes,206403,C Gran de Gràcia,237.0,31,la Vila de Gràcia,6,Gràcia,8012.0,Pharmacy,429017.06549696095,4584100.309893549,41.40531423542421,2.150765545753297
511,Farmàcia de Vega Masana,361406,Viladomat,154.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8015.0,Pharmacy,429224.8250070863,4581588.059445872,41.38270562953987,2.153544506198356
512,Farmàcia Ventura Ramos,361406,Viladomat,198.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8029.0,Pharmacy,429011.38903631055,4581805.01028387,41.38464082468538,2.1509667096724625
513,Farmàcia Cervera Bech,349706,Comte d'Urgell,241.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036.0,Pharmacy,428657.1313304633,4582510.873321667,41.390966933442336,2.146647061309952
514,Farmàcia Guinart Gómez de Arteche,296202,Carrer Gran de Sant Andreu,306.0,60,Sant Andreu,9,Sant Andreu,8030.0,Pharmacy,432307.3208307455,4587597.048486002,41.43709201717534,2.18973464583348
515,Farmàcia Ros-Alabern,296202,Carrer Gran de Sant Andreu,435.0,60,Sant Andreu,9,Sant Andreu,8030.0,Pharmacy,432194.21484905866,4587990.853627304,41.44062933747296,2.188336731880088
516,Farmàcia García Belmonte,152905,Rda Guinardó,156.0,35,el Guinardó,7,Horta-Guinardó,8041.0,Pharmacy,431190.8390770084,4585582.127895361,41.41884946838865,2.176601269755296
517,Farmàcia Hernández i Miquel,206505,C Major de Sarrià,70.0,23,Sarrià,5,Sarrià-Sant Gervasi,8017.0,Pharmacy,426655.9256024668,4583326.993931903,41.39813737618127,2.122613866990934
518,Farmàcia Altirriba Gutierrez,235503,C Porto,30.0,43,Horta,7,Horta-Guinardó,8032.0,Pharmacy,429537.7888512978,4586905.498658129,41.43062527475226,2.1566680080484706
519,Farmàcia San Martín Cervera,179107,Pl Llibertat,2.0,31,la Vila de Gràcia,6,Gràcia,8012.0,Pharmacy,429273.1051348034,4583504.919753936,41.3999743479587,2.1538980284533378
520,Farmàcia Calero Torrico,11583,Carrer d'Alsàcia,8.0,48,la Guineueta,8,Nou Barris,8042.0,Pharmacy,430759.4768243268,4587727.944897745,41.43813897688151,2.171194160544471
521,Farmàcia Rubies Mallol,279600,Av República Argentina,67.0,27,el Putxet i el Farró,5,Sarrià-Sant Gervasi,8023.0,Pharmacy,428630.8571412825,4584607.129870186,41.40984476461866,2.146085700274144
522,Farmàcia Fons Jovani,344702,Trèvol,2.0,36,la Font d'en Fargues,7,Horta-Guinardó,8032.0,Pharmacy,430356.618002832,4586425.914500867,41.426377263407694,2.166522469713056
523,Farmàcia Macia Creus,191204,Mallorca,591.0,64,el Camp de l'Arpa del Clot,10,Sant Martí,8026.0,Pharmacy,431925.9531119947,4584726.447386011,41.41120524670415,2.1854933765255065
524,Farmàcia Andrés Perera,191204,C Mallorca,621.0,65,el Clot,10,Sant Martí,8026.0,Pharmacy,432137.6240142222,4584934.180403172,41.41309413278677,2.18800247679912
525,Farmàcia Marín Sánchez,192003,C Manila,49.0,21,Pedralbes,4,Les Corts,8034.0,Pharmacy,426898.2264445198,4582422.929803998,41.39001692406713,2.1256212212589
526,Farmàcia Salamero Subias,312400,Sants,151.0,18,Sants,3,Sants-Montjuïc,8028.0,Pharmacy,427459.1513437759,4580794.735814917,41.37540321008944,2.1325246877891595
527,Farmàcia Morlan Sala,243501,Panissars,13.0,18,Sants,3,Sants-Montjuïc,8028.0,Pharmacy,427524.6256857525,4580893.78186211,41.37630117914522,2.13329573021185
528,Farmàcia Martínez Molla,245802,París,45.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8029.0,Pharmacy,428428.05165483896,4582050.522765063,41.38680037807275,2.1439616571193345
529,Farmàcia Saus Pérez,310008,Sant Quintí,128.0,35,el Guinardó,7,Horta-Guinardó,8041.0,Pharmacy,431036.21663968335,4585283.012779657,41.41614218803443,2.1747852808753345
530,Farmàcia Estivill Enciso,310507,Av Sant Ramon Nonat,23.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028.0,Pharmacy,426126.6082567986,4580998.830534054,41.37712018446071,2.1165664794634416
531,Farmàcia Escola Marco,310700,Sant Roc,26.0,15,Hostafrancs,3,Sants-Montjuïc,8014.0,Pharmacy,428537.02287907305,4580715.965813467,41.37479019575845,2.145422249220147
532,Farmàcia Martínez García,246000,Parlament,17.0,10,Sant Antoni,2,Eixample,8015.0,Pharmacy,429906.5245348392,4580843.304857154,41.37605754538123,2.1617827773379457
