Curs,Codi centre,Denominació completa,Codi municipi_5,Codi municipi_6,Nom municipi,Dones,Homes,Total
2023/2024,08046840,INSTITUT CASTELLET,08262,082628,SANT VICENÇ DE CASTELLET,52,44,96
2023/2024,08046803,INSTITUT VILATZARA,08219,082191,VILASSAR DE MAR,38,31,69
2023/2024,08046797,INSTITUT LAIA L'ARQUERA,08121,081213,MATARÓ,38,26,64
2023/2024,08046785,INSTITUT D'ALELLA,08003,080039,ALELLA,37,18,55
2023/2024,08046761,INSTITUT GUILLEM CATÀ,08113,081136,MANRESA,98,46,144
2023/2024,08046751,INSTITUT VENTURA GASSOL,08015,080155,BADALONA,34,14,48
2023/2024,08046748,INSTITUT THOS I CODINA,08121,081213,MATARÓ,68,52,120
2023/2024,08046736,INSTITUT MILÀ I FONTANALS,08305,083054,VILAFRANCA DEL PENEDÈS,46,28,74
2023/2024,08046724,INSTITUT MONTSERRAT ROIG,08279,082798,TERRASSA,76,39,115
2023/2024,08046694,INSTITUT CENTRE D'ALT RENDIMENT ESPORTIU,08205,082055,SANT CUGAT DEL VALLÈS,24,33,57
2023/2024,08046682,INSTITUT DE CASTELLAR,08051,080517,CASTELLAR DEL VALLÈS,41,28,69
2023/2024,08046670,INSTITUT ANGELETA FERRER I SENSAT,08205,082055,SANT CUGAT DEL VALLÈS,48,24,72
2023/2024,08046669,INSTITUT RIBOT I SERRA,08187,081878,SABADELL,50,13,63
2023/2024,08046657,INSTITUT JOAQUIM BLUME,08077,080771,ESPLUGUES DE LLOBREGAT,15,14,29
2023/2024,08046645,INSTITUT MOLÍ DE LA VILA,08044,080446,CAPELLADES,33,18,51
2023/2024,08046608,INSTITUT PRÍNCEP DE VIANA,08019,080193,BARCELONA,31,18,49
2023/2024,08046581,INSTITUT LLUÍS VIVES,08019,080193,BARCELONA,31,11,42
2023/2024,08046293,ESCOLA CAVALL BERNAT,08019,080193,BARCELONA,14,4,18
2023/2024,08046281,ESCOLA ESTEL-GUINARDÓ,08019,080193,BARCELONA,15,3,18
2023/2024,08045860,INSTITUT MIRAMAR,08301,083015,VILADECANS,36,23,59
2023/2024,08045859,INSTITUT DE CORBERA DE LLOBREGAT,08072,080728,CORBERA DE LLOBREGAT,36,24,60
2023/2024,08045689,INSTITUT VOLTRERA,08001,080018,ABRERA,43,29,72
2023/2024,08045677,INSTITUT THALASSA,08126,081265,MONTGAT,31,18,49
2023/2024,08045665,INSTITUT RAMON TURRÓ I DARDER,08110,081108,MALGRAT DE MAR,42,27,69
2023/2024,08045653,INSTITUT DOLORS MALLAFRÈ I ROS,08307,083073,VILANOVA I LA GELTRÚ,37,22,59
2023/2024,08045641,INSTITUT LLUÍS DOMÈNECH I MONTANER,08040,080403,CANET DE MAR,54,23,77
2023/2024,08045628,INSTITUT CELESTÍ BELLERA,08096,080961,GRANOLLERS,44,17,61
2023/2024,08045604,INSTITUT ENRIC BORRÀS,08015,080155,BADALONA,56,30,86
2023/2024,08045598,ESCOLA MIL·LENARI,08046,080462,CARDEDEU,29,1,30
2023/2024,08045586,ESCOLA LES PRUNERES,08115,081154,MARTORELLES,15,0,15
2023/2024,08045574,ESCOLA SERRA DE MARINA,08245,082457,SANTA COLOMA DE GRAMENET,21,11,32
2023/2024,08045562,INSTITUT CAN PLANAS,08252,082520,BARBERÀ DEL VALLÈS,32,33,65
2023/2024,08045549,INSTITUT BANÚS,08266,082665,CERDANYOLA DEL VALLÈS,41,18,59
2023/2024,08045537,INSTITUT JOSEP LLUÍS SERT,08056,080569,CASTELLDEFELS,42,25,67
2023/2024,08045525,INSTITUT MANUEL CARRASCO I FORMIGUERA,08019,080193,BARCELONA,22,14,36
2023/2024,08045513,INSTITUT FLOS I CALCAT,08019,080193,BARCELONA,33,19,52
2023/2024,08045483,INSTITUT VILA DE GRÀCIA,08019,080193,BARCELONA,26,12,38
2023/2024,08045471,INSTITUT POMPEU FABRA,08015,080155,BADALONA,48,60,108
2023/2024,08045306,INSTITUT RAMON CASAS I CARBÓ,08156,081568,PALAU-SOLITÀ I PLEGAMANS,46,26,72
2023/2024,08045227,CEE LES AIGÜES,08121,081213,MATARÓ,44,3,47
2023/2024,08045203,INSTITUT OBERT DE CATALUNYA,08019,080193,BARCELONA,78,69,147
2023/2024,08045070,INSTITUT EUROPA,08101,081017,L'HOSPITALET DE LLOBREGAT,24,11,35
2023/2024,08045057,ESCOLA EL SAGRER,08019,080193,BARCELONA,29,4,33
2023/2024,08045045,ESCOLA MEDITERRÀNIA,08163,081635,PINEDA DE MAR,15,5,20
