Curs,Codi centre,Denominació completa,Codi municipi_5,Codi municipi_6,Nom municipi,Dones,Homes,Total
2023/2024,08064751,ESCOLA MAR I CEL,08074,080749,CUBELLES,16,4,20
2023/2024,43013087,INSTITUT ESCOLA CORBATERA,43049,430496,CORNUDELLA DE MONTSANT,21,3,24
2023/2024,43013075,INSTITUT ESCOLA ÀNGEL DE TOBIES,43163,431634,EL VENDRELL,40,24,64
2023/2024,43012988,INSTITUT DE MIAMI,43092,430923,MONT-ROIG DEL CAMP,23,10,33
2023/2024,43012976,INSTITUT ESCOLA MEDITERRANI,43148,431482,TARRAGONA,22,12,34
2023/2024,43012903,ESCOLA EL BOSC - ZER EL FRANCOLÍ,43091,430918,MONT-RAL,1,2,3
2023/2024,43012812,INSTITUT ESCOLA L'AGULLA,43043,430430,EL CATLLAR,40,10,50
2023/2024,43012769,CEE FONT DEL LLEÓ,43123,431233,REUS,18,2,20
2023/2024,43012319,INSTITUT ESCOLA EL PERELLÓ,43104,431042,EL PERELLÓ,43,12,55
2023/2024,43012307,INSTITUT ESCOLA DANIEL MANGRANÉ,43155,431554,TORTOSA,44,14,58
2023/2024,43012289,INSTITUT ESCOLA 3 D'ABRIL,43094,430944,MÓRA LA NOVA,39,11,50
2023/2024,43012113,INSTITUT ESCOLA MARE DE DÉU DEL PORTAL,43022,430228,BATEA,28,5,33
2023/2024,43012095,ESCOLA JOAN MIRÓ,43092,430923,MONT-ROIG DEL CAMP,30,6,36
2023/2024,43012083,INSTITUT ESCOLA PI DEL BURGAR,43123,431233,REUS,45,13,58
2023/2024,43011492,ESCOLA LA CANALETA,43171,431711,VILA-SECA,31,8,39
2023/2024,43011479,INSTITUT TARRAGONA,43148,431482,TARRAGONA,49,14,63
2023/2024,43011418,INSTITUT RODA DE BERÀ,43131,431310,RODA DE BERÀ,24,16,40
2023/2024,43011303,ZER MONTSANT,43035,430350,CABACÉS,0,4,4
2023/2024,43011212,ESCOLA LA BÒBILA,43038,430385,CAMBRILS,27,5,32
2023/2024,43011200,EOI DE SALOU,43905,439057,SALOU,4,1,5
2023/2024,43011194,ESCOLA EL CUCURULL,43131,431310,RODA DE BERÀ,13,5,18
2023/2024,43011170,INSTITUT CRISTÒFOL DESPUIG,43155,431554,TORTOSA,30,18,48
2023/2024,43011145,ESCOLA ELS GANXETS,43123,431233,REUS,13,4,17
2023/2024,43011121,ESCOLA VILAMAR,43037,430379,CALAFELL,15,3,18
2023/2024,43011029,ZER EBRE,43125,431251,RIBA-ROJA D'EBRE,3,1,4
2023/2024,43010980,EOI RIBERA D'EBRE,43093,430939,MÓRA D'EBRE,4,0,4
2023/2024,43010888,INSTITUT DE TECNIFICACIÓ,43014,430141,AMPOSTA,29,28,57
2023/2024,43010864,ESCOLA ISABEL BESORA,43123,431233,REUS,23,5,28
2023/2024,43010852,INSTITUT ROSETA MAURI,43123,431233,REUS,47,20,67
2023/2024,43010839,ESCOLA SERRA MAJOR - ZER L'AGLÀ,43174,431747,LA VILELLA BAIXA,5,0,5
2023/2024,43010815,ESCOLA ELS COSSETANS,43051,430516,CUNIT,25,5,30
2023/2024,43010773,ESCOLA CONSOL FERRÉ,43014,430141,AMPOSTA,25,7,32
2023/2024,43010748,INSTITUT ELS PALLARESOS,43100,431009,ELS PALLARESOS,36,24,60
2023/2024,43010621,ESCOLA CINGLE ROIG - ZER BAIX CAMP NORD,43169,431690,VILAPLANA,3,1,4
2023/2024,43010608,INSTITUT SERRA DE MIRAMAR,43161,431613,VALLS,30,19,49
2023/2024,43010591,ESCOLA ARQUITECTE JUJOL,43100,431009,ELS PALLARESOS,10,5,15
2023/2024,43010581,ESCOLA MAS CLARIANA,43038,430385,CAMBRILS,24,3,27
2023/2024,43010578,INSTITUT FONTANELLES,43031,430311,LES BORGES DEL CAMP,35,17,52
2023/2024,43010554,ZER LES VINYES,43076,430764,MARÇÀ,2,2,4
2023/2024,43010530,ESCOLA MIRAMAR,43171,431711,VILA-SECA,25,5,30
2023/2024,43010529,ESCOLA CAVALLER ARNAU,43129,431299,RIUDOMS,15,3,18
2023/2024,43010505,ESCOLA LA VITXETA,43123,431233,REUS,28,1,29
2023/2024,43010499,CFA PAU CASALS,43043,430430,EL CATLLAR,15,4,19
2023/2024,43010487,ESCOLA MARCEL·LÍ ESQUIUS,43092,430923,MONT-ROIG DEL CAMP,17,3,20
2023/2024,43010414,INSTITUT COSTER DE LA TORRE,43028,430287,LA BISBAL DEL PENEDÈS,44,22,66
2023/2024,43010402,ESCOLA EL ROQUISSAR,43012,430120,ALTAFULLA,16,2,18
2023/2024,43010396,ESCOLA DE PONENT,43148,431482,TARRAGONA,19,1,20
2023/2024,43010372,INSTITUT LA TALAIA,43037,430379,CALAFELL,47,27,74
2023/2024,43010347,INSTITUT MARTA MATA,43905,439057,SALOU,43,22,65
2023/2024,43010335,INSTITUT LA MAR DE LA FRAU,43038,430385,CAMBRILS,30,18,48
2023/2024,43010323,CFA MONTBLANC,43086,430862,MONTBLANC,3,1,4
2023/2024,43010311,CFA RIBERA D'EBRE,43093,430939,MÓRA D'EBRE,4,3,7
2023/2024,43010220,ESCOLA DE MASPUJOLS,43081,430810,MASPUJOLS,13,1,14
2023/2024,43010189,INSTITUT MEDITERRÀNIA,43163,431634,EL VENDRELL,31,22,53
2023/2024,43010165,ESCOLA MARTA MATA,43163,431634,EL VENDRELL,22,6,28
2023/2024,43010153,ESCOLA VORA MAR,43905,439057,SALOU,34,4,38
2023/2024,43010141,ESCOLA GUILLEM FORTUNY,43038,430385,CAMBRILS,28,4,32
2023/2024,43010098,ESCOLA LA GINESTA,43037,430379,CALAFELL,26,6,32
2023/2024,43010086,CFA VILASECA,43171,431711,VILA-SECA,5,2,7
2023/2024,43010074,CFA VALLS,43161,431613,VALLS,4,2,6
2023/2024,43010062,CFA EL VENDRELL,43163,431634,EL VENDRELL,5,3,8
2023/2024,43010037,EOI DEL VENDRELL,43163,431634,EL VENDRELL,4,3,7
2023/2024,43009977,INSTITUT D'ALTAFULLA,43012,430120,ALTAFULLA,38,18,56
2023/2024,43009898,ESCOLA CASTELL DE CALAFELL,43037,430379,CALAFELL,22,9,31
2023/2024,43009886,ESCOLA JOSEP VECIANA,43103,431037,PERAFORT,15,2,17
2023/2024,43009862,EOI DE TORTOSA,43155,431554,TORTOSA,6,4,10
2023/2024,43009850,INSTITUT ERNEST LLUCH I MARTÍ,43051,430516,CUNIT,52,26,78
2023/2024,43009771,CFA TORTOSA,43155,431554,TORTOSA,7,3,10
2023/2024,43009722,INSTITUT CAL·LÍPOLIS,43148,431482,TARRAGONA,102,50,152
2023/2024,43009710,EOI DE REUS,43123,431233,REUS,11,2,13
2023/2024,43009618,ZER MESTRAL,43155,431554,TORTOSA,2,2,4
2023/2024,43009606,ZER BENISSANET-MIRAVET,43026,430265,BENISSANET,3,1,4
2023/2024,43009497,INSTITUT FONTS DEL GLORIETA,43005,430056,ALCOVER,25,10,35
2023/2024,43009461,ZER TERRA ALTA-CENTRE,43048,430483,CORBERA D'EBRE,4,0,4
2023/2024,43009451,ESCOLA SALOU,43905,439057,SALOU,33,3,36
2023/2024,43009394,ZER LA FONT DE L'AIGUADÍ,43067,430672,GINESTAR,1,2,3
2023/2024,43009370,ZER TERRA ALTA NORD,43175,431750,VILALBA DELS ARCS,2,2,4
2023/2024,43009369,ESCOLA SAAVEDRA,43148,431482,TARRAGONA,15,4,19
2023/2024,43009345,ZER RIBERA D'EBRE NORD,43152,431520,LA TORRE DE L'ESPANYOL,3,1,4
2023/2024,43009321,ZER RIU I SERRA,43025,430252,BENIFALLET,3,0,3
2023/2024,43009311,ZER MONT CARO,43133,431331,ROQUETES,4,0,4
2023/2024,43009308,ZER MEDITERRÀNIA,43004,430043,ALCANAR,3,1,4
2023/2024,43009242,ESCOLA L'ANTINA,43153,431536,TORREDEMBARRA,28,5,33
2023/2024,43009230,ESCOLA TARRAGONA,43148,431482,TARRAGONA,23,7,30
2023/2024,43009229,ZER PORTS-ALGARS,43018,430189,ARNES,2,1,3
2023/2024,43009217,ESCOLA DEL POBLE NOU DEL DELTA - ZER MEDITERRÀNIA,43014,430141,AMPOSTA,3,0,3
2023/2024,43009187,INSTITUT MARTÍ L'HUMÀ,43086,430862,MONTBLANC,40,30,70
2023/2024,43009141,ZER POBLET,43176,431763,VIMBODÍ I POBLET,4,0,4
2023/2024,43009138,ZER LA PARELLADA,43059,430593,FIGUEROLA DEL CAMP,2,2,4
2023/2024,43009126,ZER BAIX CAMP SUD,43167,431671,VILANOVA D'ESCORNALBOU,3,1,4
2023/2024,43009096,ZER ELS CEPS,43079,430799,MASLLORENÇ,2,2,4
2023/2024,43009084,ZER MONTSIÀ,43078,430786,MASDENVERGE,3,2,5
2023/2024,43009072,ZER CONCA DE BARBERÀ,43147,431476,SOLIVELLA,4,1,5
2023/2024,43009059,ZER BAIX CAMP NORD,43007,430075,L'ALEIXAR,4,1,5
2023/2024,43009047,ZER BAIX PRIORAT,43114,431140,PORRERA,2,1,3
2023/2024,43009035,ZER ATZAVARA,43165,431652,VILABELLA,1,3,4
2023/2024,43009023,ZER L'AGLÀ,43069,430691,GRATALLOPS,2,1,3
2023/2024,43009011,ZER RIU AVALL,43155,431554,TORTOSA,3,1,4
2023/2024,43009001,ZER MONTSANT-SERRA DE PRADES,43116,431166,PRADES,4,0,4
2023/2024,43008912,ESCOLA CINTA CURTO,43155,431554,TORTOSA,14,3,17
2023/2024,43008857,CFA REUS,43123,431233,REUS,6,4,10
2023/2024,43008754,CFA SEBASTIÀ JUAN ARBÓ,43014,430141,AMPOSTA,6,1,7
2023/2024,43008729,CFA TARRAGONA,43148,431482,TARRAGONA,9,5,14
2023/2024,43008638,INSTITUT ANTONI BALLESTER,43092,430923,MONT-ROIG DEL CAMP,30,22,52
2023/2024,43008547,ESCOLA CAMBRILS,43038,430385,CAMBRILS,26,5,31
2023/2024,43008535,ESCOLA SOLCUNIT,43051,430516,CUNIT,25,6,31
2023/2024,43008523,INSTITUT VILA-SECA,43171,431711,VILA-SECA,50,22,72
2023/2024,43008511,INSTITUT JOAN PUIG I FERRETER,43145,431457,LA SELVA DEL CAMP,34,19,53
2023/2024,43008501,INSTITUT PONT DEL DIABLE,43148,431482,TARRAGONA,34,11,45
2023/2024,43008481,INSTITUT COLLBLANC,43907,439076,LA CANONJA,41,31,72
2023/2024,43008456,INSTITUT LES PLANES,43138,431384,SANTA BÀRBARA,24,15,39
2023/2024,43008444,INSTITUT JOSEP TAPIRÓ,43123,431233,REUS,52,27,79
2023/2024,43008432,INSTITUT SANT PERE I SANT PAU,43148,431482,TARRAGONA,45,16,61
2023/2024,43008420,INSTITUT ROQUETES,43133,431331,ROQUETES,52,21,73
2023/2024,43008419,INSTITUT CAMARLES,43903,439039,CAMARLES,26,17,43
2023/2024,43008407,INSTITUT EL MORELL,43095,430957,EL MORELL,34,30,64
2023/2024,43008390,INSTITUT TORREFORTA,43148,431482,TARRAGONA,45,21,66
2023/2024,43008389,ESCOLA SANT LLATZER,43155,431554,TORTOSA,14,3,17
2023/2024,43007661,INSTITUT RAMON DE LA TORRE,43153,431536,TORREDEMBARRA,49,26,75
2023/2024,43007658,INSTITUT JOAN GUINJOAN I GISPERT,43129,431299,RIUDOMS,50,27,77
2023/2024,43007646,INSTITUT DE CONSTANTÍ,43047,430477,CONSTANTÍ,32,15,47
2023/2024,43007580,INSTITUT DE L'ARBOÇ,43016,430167,L'ARBOÇ,41,27,68
2023/2024,43007543,INSTITUT JAUME I,43905,439057,SALOU,66,25,91
2023/2024,43007385,INSTITUT D'HORTICULTURA I JARDINERIA,43123,431233,REUS,11,21,32
2023/2024,43007257,INSTITUT CAMÍ DE MAR,43037,430379,CALAFELL,58,52,110
2023/2024,43007233,INSTITUT DE FLIX,43060,430607,FLIX,30,16,46
2023/2024,43007221,INSTITUT ELS ALFACS,43136,431362,LA RÀPITA,44,35,79
2023/2024,43007208,INSTITUT BERENGUER D'ENTENÇA,43162,431628,VANDELLÒS I L'HOSPITALET DE L'INFANT,41,12,53
2023/2024,43007178,ESCOLA MOWGLI,43123,431233,REUS,16,1,17
2023/2024,43007166,INSTITUT LLUÍS DOMÈNECH I MONTANER,43123,431233,REUS,46,53,99
2023/2024,43007129,INSTITUT JULIO ANTONIO,43093,430939,MÓRA D'EBRE,32,40,72
2023/2024,43007117,ESCOLA PAX,43148,431482,TARRAGONA,30,2,32
2023/2024,43007105,ESCOLA MONTSANT,43123,431233,REUS,14,3,17
2023/2024,43007087,INSTITUT SÒL DE RIU,43004,430043,ALCANAR,36,23,59
2023/2024,43007051,CFA JOSEPA MASSANÉS I DALMAU,43148,431482,TARRAGONA,6,6,12
2023/2024,43007038,INSTITUT ESCOLA D'HOTELERIA I TURISME,43038,430385,CAMBRILS,28,23,51
2023/2024,43006988,CEE GARBÍ,43163,431634,EL VENDRELL,22,0,22
2023/2024,43006976,INSTITUT CANDELERA,43013,430136,L'AMETLLA DE MAR,26,21,47
2023/2024,43006964,INSTITUT DE DELTEBRE,43901,439018,DELTEBRE,44,28,72
2023/2024,43006952,INSTITUT TORREDEMBARRA,43153,431536,TORREDEMBARRA,35,32,67
2023/2024,43006940,EOI DE TARRAGONA,43148,431482,TARRAGONA,30,6,36
2023/2024,43006873,ESCOLA RIUMAR,43901,439018,DELTEBRE,13,4,17
2023/2024,43006861,ESCOLA ENXANETA,43161,431613,VALLS,16,2,18
2023/2024,43006851,ESCOLA MOLÍ DE VENT,43153,431536,TORREDEMBARRA,28,4,32
2023/2024,43006708,INSTITUT JOAN SEGURA I VALLS,43139,431397,SANTA COLOMA DE QUERALT,15,8,23
2023/2024,43006691,INSTITUT PRIORAT,43055,430555,FALSET,39,22,61
2023/2024,43006681,INSTITUT DE LA SÉNIA,43044,430445,LA SÉNIA,34,12,46
2023/2024,43006678,INSTITUT GABRIEL FERRATER I SOLER,43123,431233,REUS,56,29,85
2023/2024,43006654,INSTITUT CAMBRILS,43038,430385,CAMBRILS,34,19,53
2023/2024,43006642,INSTITUT TERRA ALTA,43064,430640,GANDESA,34,19,53
2023/2024,43006630,INSTITUT PERE MARTELL,43148,431482,TARRAGONA,47,92,139
2023/2024,43006617,INSTITUT JOAN AMIGÓ I CALLAU,43054,430542,L'ESPLUGA DE FRANCOLÍ,19,7,26
2023/2024,43006587,ESCOLA ÀNGELS GARRIGA,43163,431634,EL VENDRELL,29,7,36
2023/2024,43006575,ESCOLA ELADI HOMS,43161,431613,VALLS,20,3,23
2023/2024,43006563,ESCOLA MARCEL·LÍ DOMINGO,43148,431482,TARRAGONA,25,2,27
2023/2024,43006551,ESCOLA HORTA VELLA,43136,431362,LA RÀPITA,27,7,34
2023/2024,43006541,ESCOLA TERESA MIQUEL I PÀMIES,43123,431233,REUS,27,8,35
2023/2024,43006496,INSTITUT MANUEL SALES I FERRÉ,43156,431567,ULLDECONA,35,16,51
2023/2024,43006393,ESCOLA EUROPA,43905,439057,SALOU,33,8,41
2023/2024,43006371,ESCOLA SANT ROC - ZER CONCA DE BARBERÀ,43130,431303,ROCAFORT DE QUERALT,4,0,4
2023/2024,43006356,ESCOLA MARINADA,43038,430385,CAMBRILS,26,7,33
2023/2024,43006332,ESCOLA MESTRAL,43171,431711,VILA-SECA,20,3,23
2023/2024,43006241,ESCOLA LA PLANA,43171,431711,VILA-SECA,10,2,12
2023/2024,43006228,ESCOLA ROSA SENSAT,43123,431233,REUS,16,4,20
2023/2024,43006216,ESCOLA CÈLIA ARTIGA,43123,431233,REUS,15,2,17
2023/2024,43006186,ESCOLA SORIANO MONTAGUT,43014,430141,AMPOSTA,26,7,33
2023/2024,43006174,ESCOLA LES MORERES,43001,430017,AIGUAMÚRCIA,6,3,9
2023/2024,43006125,INSTITUT CAMPCLAR,43148,431482,TARRAGONA,58,21,79
2023/2024,43006101,INSTITUT MONTSIÀ,43014,430141,AMPOSTA,46,66,112
2023/2024,43006061,ESCOLA RUBIÓ I ORS,43123,431233,REUS,31,9,40
2023/2024,43006046,ESCOLA DIVINA PASTORA - ZER MESTRAL,43155,431554,TORTOSA,3,1,4
2023/2024,43005972,INSTITUT RAMON BARBAT I MIRACLE,43171,431711,VILA-SECA,54,37,91
2023/2024,43005959,ESCOLA CÈSAR AUGUST,43148,431482,TARRAGONA,28,5,33
2023/2024,43005947,ESCOLA CAL·LÍPOLIS,43171,431711,VILA-SECA,27,8,35
2023/2024,43005935,ESCOLA SANT BERNAT CALVÓ,43123,431233,REUS,26,7,33
2023/2024,43005911,ESCOLA CAMPCLAR,43148,431482,TARRAGONA,21,4,25
2023/2024,43005901,ESCOLA JOAN REBULL,43123,431233,REUS,34,2,36
2023/2024,43005893,ESCOLA CENTCELLES,43047,430477,CONSTANTÍ,18,5,23
2023/2024,43005765,ESCOLA EDUARD TODA I GÜELL,43123,431233,REUS,27,3,30
2023/2024,43005753,ESCOLA DOCTOR ALBERICH I CASAS,43123,431233,REUS,30,6,36
2023/2024,43005704,INSTITUT FRANCESC VIDAL I BARRAQUER,43148,431482,TARRAGONA,80,58,138
2023/2024,43005698,ESCOLA MARJAL - ZER MEDITERRÀNIA,43004,430043,ALCANAR,8,2,10
2023/2024,43005686,ESCOLA RIU CLAR,43148,431482,TARRAGONA,16,2,18
2023/2024,43005674,ESCOLA RAVAL DE CRISTO - ZER MONT CARO,43133,431331,ROQUETES,8,1,9
2023/2024,43005662,ESCOLA JOSEP NIN,43135,431359,SALOMÓ,6,5,11
2023/2024,43005650,ESCOLA EL DIVÍ MESTRE - ZER TERRA ALTA NORD,43175,431750,VILALBA DELS ARCS,4,0,4
2023/2024,43005637,ESCOLA MANUEL DE CASTELLVÍ I FELIU - ZER ATZAVARA,43165,431652,VILABELLA,5,2,7
2023/2024,43005625,ESCOLA SANT ANTONI ABAT - ZER MONT CARO,43155,431554,TORTOSA,4,1,5
2023/2024,43005613,ESCOLA SETZE DE FEBRER - ZER MEDITERRÀNIA,43902,439023,SANT JAUME D'ENVEJA,4,1,5
2023/2024,43005601,ESCOLA EL TORMO - ZER RIBERA D'EBRE NORD,43152,431520,LA TORRE DE L'ESPANYOL,6,0,6
2023/2024,43005595,ESCOLA LA PARELLADA,43140,431401,SANTA OLIVA,18,6,24
2023/2024,43005583,ESCOLA ELS QUATRE VENTS,43137,431378,SANT JAUME DELS DOMENYS,19,3,22
2023/2024,43005571,ESCOLA LES COMES,43132,431325,RODONYÀ,14,2,16
2023/2024,43005561,ESCOLA MARE DE DÉU DEL ROSER,43128,431286,RIUDECOLS,10,1,11
2023/2024,43005558,ESCOLA SANT MATEU,43127,431270,RIUDECANYES,10,1,11
2023/2024,43005546,ESCOLA DE LA RIBA - ZER EL FRANCOLÍ,43124,431248,LA RIBA,5,2,7
2023/2024,43005534,ESCOLA LES ERES DE RASQUERA - ZER LA FONT DE L'AIGUADÍ,43121,431212,RASQUERA,7,0,7
2023/2024,43005522,ESCOLA SANTA MARINA,43118,431188,PRATDIP,6,4,10
2023/2024,43005510,ESCOLA SERRA DE PRADES - ZER MONTSANT-SERRA DE PRADES,43116,431166,PRADES,4,1,5
2023/2024,43005509,ESCOLA ROSSEND GIOL - ZER BAIX PRIORAT,43114,431140,PORRERA,1,2,3
2023/2024,43005492,ESCOLA SANTA MAGDALENA - ZER LA PARELLADA,43113,431135,EL PONT D'ARMENTERA,4,1,5
2023/2024,43005480,ESCOLA MARE DE DÉU DEL LLEDÓ,43109,431093,LA POBLA DE MAFUMET,27,5,32
2023/2024,43005479,ESCOLA 1 D'ABRIL - ZER EBRE,43099,430995,LA PALMA D'EBRE,1,2,3
2023/2024,43005467,ESCOLA LES CODINETES,43097,430976,LA NOU DE GAIÀ,14,2,16
2023/2024,43005455,ESCOLA PIUS XII - ZER L'AGLÀ,43085,430859,EL MOLAR,2,2,4
2023/2024,43005443,ESCOLA ROC LLOP I CONVALIA - ZER BENISSANET-MIRAVET,43084,430846,MIRAVET,5,1,6
2023/2024,43005421,ESCOLA BERENGUER DE MONTOLIU - ZER ELS CEPS,43079,430799,MASLLORENÇ,3,3,6
2023/2024,43005418,ESCOLA SANT SALVADOR - ZER MONTSIÀ,43068,430688,GODALL,4,1,5
2023/2024,43005406,ESCOLA EL VERGER - ZER RIBERA D'EBRE NORD,43065,430653,GARCIA,3,1,4
2023/2024,43005391,ESCOLA SANT LLORENÇ - ZER MONTSIÀ,43063,430635,LA GALERA,4,2,6
2023/2024,43005388,ESCOLA MESTRE JOSEP RONCERO I PALLARÈS - ZER MONTSIÀ,43062,430629,FREGINALS,3,2,5
2023/2024,43005376,ESCOLA PUIGMARÍ - ZER BAIX CAMP SUD,43053,430537,DUESAIGÜES,1,2,3
2023/2024,43005364,ESCOLA LES ERES,43050,430509,CREIXELL,20,1,21
2023/2024,43005340,ESCOLA SANTA ANNA,43042,430424,CASTELLVELL DEL CAMP,17,2,19
2023/2024,43005339,ESCOLA MONTSANT - ZER MONTSANT,43027,430271,LA BISBAL DE FALSET,2,0,2
2023/2024,43005327,ESCOLA RAMON SUGRAÑES,43011,430115,ALMOSTER,12,3,15
2023/2024,43005315,ESCOLA D'ALFARA DE CARLES,43008,430081,ALFARA DE CARLES,3,1,4
2023/2024,43005303,ESCOLA SANT JORDI - ZER RIU I SERRA,43006,430069,ALDOVER,4,1,5
2023/2024,43005297,ESCOLA JOAN PERUCHO,43002,430022,ALBINYANA,10,7,17
2023/2024,43005194,ESCOLA MEDITERRANI,43906,439060,L'AMPOLLA,15,4,19
2023/2024,43005170,ESCOLA LA FLORESTA,43148,431482,TARRAGONA,14,3,17
2023/2024,43005169,ESCOLA PAU DELCLÒS,43148,431482,TARRAGONA,32,1,33
2023/2024,43005157,ESCOLA MONTOLIU,43126,431264,LA RIERA DE GAIÀ,13,3,16
2023/2024,43005145,ESCOLA ELS AMETLLERS,43111,431114,LA POBLA DE MONTORNÈS,14,5,19
2023/2024,43005133,ESCOLA MARE DE DÉU DEL PRIORAT,43020,430206,BANYERES DEL PENEDÈS,15,3,18
2023/2024,43005121,ESCOLA SANTA CATERINA,43178,431785,VINYOLS I ELS ARCS,12,4,16
2023/2024,43005108,ESCOLA LES ERES - ZER RIBERA D'EBRE NORD,43177,431779,VINEBRE,5,1,6
2023/2024,43005081,ESCOLA MARE DE DÉU DELS TORRENTS - ZER POBLET,43176,431763,VIMBODÍ I POBLET,5,0,5
2023/2024,43005017,ESCOLA DEL MONTGOI - ZER POBLET,43172,431726,VILAVERD,3,0,3
2023/2024,43005005,ESCOLA SANT BERNAT CALVÓ,43171,431711,VILA-SECA,26,5,31
2023/2024,43004979,ESCOLA TORROJA I MIRET,43171,431711,VILA-SECA,26,5,31
2023/2024,43004931,ESCOLA SANTA MARIA DEL MAR,43905,439057,SALOU,32,4,36
2023/2024,43004921,ESCOLA BERNARDÍ TOLRÀ,43170,431704,VILA-RODONA,12,4,16
2023/2024,43004888,ESCOLA FONT DE L'ARC - ZER BAIX CAMP SUD,43167,431671,VILANOVA D'ESCORNALBOU,6,1,7
2023/2024,43004864,ESCOLA PERE VIRGILI,43166,431665,VILALLONGA DEL CAMP,21,3,24
2023/2024,43004815,ESCOLA PAU CASALS,43163,431634,EL VENDRELL,26,4,30
2023/2024,43004803,INSTITUT ANDREU NIN,43163,431634,EL VENDRELL,80,72,152
2023/2024,43004797,INSTITUT BAIX PENEDÈS,43163,431634,EL VENDRELL,43,24,67
2023/2024,43004748,ESCOLA ÀNGEL GUIMERÀ,43163,431634,EL VENDRELL,30,6,36
2023/2024,43004700,ESCOLA VALDELORS,43162,431628,VANDELLÒS I L'HOSPITALET DE L'INFANT,8,4,12
2023/2024,43004657,ESCOLA MESTRAL,43162,431628,VANDELLÒS I L'HOSPITALET DE L'INFANT,34,9,43
2023/2024,43004633,ESCOLA EUGENI D'ORS,43161,431613,VALLS,29,6,35
2023/2024,43004611,INSTITUT JAUME HUGUET,43161,431613,VALLS,75,66,141
2023/2024,43004608,INSTITUT NARCÍS OLLER,43161,431613,VALLS,68,29,97
2023/2024,43004530,ESCOLA PÚBLICA BALTIS DE VALLS,43161,431613,VALLS,18,4,22
2023/2024,43004529,ESCOLA MARE DE DÉU DE LA CANDELA,43161,431613,VALLS,16,3,19
2023/2024,43004517,ESCOLA ROCABRUNA - ZER EL FRANCOLÍ,43161,431613,VALLS,6,2,8
2023/2024,43004505,ESCOLA MARE DE DÉU DEL ROSER,43160,431606,VALLMOLL,14,2,16
2023/2024,43004487,ESCOLA MONTSANT - ZER MONTSANT-SERRA DE PRADES,43157,431573,ULLDEMOLINS,1,2,3
2023/2024,43004463,ESCOLA RAMÓN Y CAJAL,43156,431567,ULLDECONA,31,9,40
2023/2024,43004441,INSTITUT DE L'EBRE,43155,431554,TORTOSA,79,68,147
2023/2024,43004438,INSTITUT DERTOSA,43155,431554,TORTOSA,63,33,96
2023/2024,43004268,ESCOLA REMOLINS,43155,431554,TORTOSA,17,4,21
2023/2024,43004256,ESCOLA FERRERIES,43155,431554,TORTOSA,27,7,34
2023/2024,43004232,ESCOLA LA MERCÈ,43155,431554,TORTOSA,23,3,26
2023/2024,43004189,ESCOLA SANT JAUME,43902,439023,SANT JAUME D'ENVEJA,18,1,19
2023/2024,43004116,ESCOLA DEL LLIGALLO DEL GÀNGUIL - ZER MESTRAL,43903,439039,CAMARLES,7,1,8
2023/2024,43004074,ESCOLA L'ASSUMPCIÓ,43901,439018,DELTEBRE,20,5,25
2023/2024,43004050,ESCOLA 21 D'ABRIL,43904,439044,L'ALDEA,15,3,18
2023/2024,43004037,ESCOLA MARIA GARCÍA I CABANES,43904,439044,L'ALDEA,15,3,18
2023/2024,43004013,ESCOLA SANT MIQUEL,43901,439018,DELTEBRE,25,8,33
2023/2024,43003987,ESCOLA PORT RODÓ - ZER MESTRAL,43155,431554,TORTOSA,11,0,11
2023/2024,43003975,ESCOLA SANT ÀNGEL,43903,439039,CAMARLES,14,3,17
2023/2024,43003951,ESCOLA BÍTEM - ZER RIU AVALL,43155,431554,TORTOSA,5,3,8
2023/2024,43003884,ESCOLA ANTONI ROIG,43153,431536,TORREDEMBARRA,28,6,34
2023/2024,43003847,ESCOLA MARCEL·LÍ DOMINGO,43150,431508,TIVISSA,12,1,13
2023/2024,43003835,ESCOLA JOSEP RIBA - ZER LES VINYES,43150,431508,TIVISSA,3,0,3
2023/2024,43003801,ESCOLA LA PINEDA - ZER RIU AVALL,43149,431495,TIVENYS,7,0,7
2023/2024,43003768,ESCOLA ELS ÀNGELS,43148,431482,TARRAGONA,30,4,34
2023/2024,43003756,ESCOLA TORREFORTA,43148,431482,TARRAGONA,24,10,34
2023/2024,43003732,INSTITUT PONS D'ICART,43148,431482,TARRAGONA,43,14,57
2023/2024,43003720,ESCOLA EL MIRACLE,43148,431482,TARRAGONA,23,2,25
2023/2024,43003690,ESCOLA DE PRÀCTIQUES,43148,431482,TARRAGONA,28,6,34
2023/2024,43003653,INSTITUT COMTE DE RIUS,43148,431482,TARRAGONA,39,53,92
2023/2024,43003641,INSTITUT ANTONI DE MARTÍ I FRANQUÈS,43148,431482,TARRAGONA,79,50,129
2023/2024,43003321,ESCOLA SANT PERE I SANT PAU,43148,431482,TARRAGONA,14,6,20
2023/2024,43003306,ESCOLA SERRALLO,43148,431482,TARRAGONA,16,2,18
2023/2024,43003227,ESCOLA SANT SALVADOR,43148,431482,TARRAGONA,28,11,39
2023/2024,43003185,ESCOLA LA CANONJA,43907,439076,LA CANONJA,34,7,41
2023/2024,43003136,ESCOLA BONAVISTA,43148,431482,TARRAGONA,32,8,40
2023/2024,43003124,ESCOLA SAGRAT COR - ZER CONCA DE BARBERÀ,43147,431476,SOLIVELLA,5,1,6
2023/2024,43003100,ESCOLA ABEL FERRATER,43145,431457,LA SELVA DEL CAMP,29,4,33
